,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,positive_rate
2021-07-04,134.816,2.082,12.571,0.194,7.571,0.706,48.429,4.516,0.001
2021-07-11,171.572,2.592,15.998,0.242,3.429,0.32,34.714,3.237,0.002
2021-07-18,236.02,1.735,22.007,0.162,5.286,0.493,33.429,3.117,0.002
2021-07-25,223.041,1.755,20.797,0.164,5.143,0.479,46.571,4.342,0.002
2021-08-01,188.204,2.551,17.549,0.238,9.0,0.839,58.0,5.408,0.002
2021-08-08,168.388,1.096,15.701,0.102,12.286,1.146,59.143,5.515,0.002
2021-08-15,183.408,0.379,17.102,0.035,17.286,1.612,62.429,5.821,0.002
2021-08-22,189.204,1.449,17.642,0.135,15.429,1.438,71.143,6.634,0.002
2021-08-29,188.653,1.796,17.591,0.167,11.0,1.026,65.429,6.101,0.002
2021-09-05,210.347,1.612,19.614,0.15,8.714,0.813,62.857,5.861,0.002
2021-09-12,322.388,0.877,30.061,0.082,15.714,1.465,109.0,10.164,0.004
2021-09-19,403.0,1.653,37.577,0.154,29.0,2.704,166.0,15.478,0.006
2021-09-26,440.0,3.429,41.027,0.319,30.143,2.811,186.143,17.357,0.006
2021-10-03,534.306,2.633,49.821,0.246,37.0,3.45,240.571,22.432,0.008
2021-10-10,762.939,3.735,71.139,0.348,58.429,5.448,324.714,30.278,0.012
2021-10-17,1178.082,4.796,109.849,0.447,90.286,8.419,488.143,45.516,0.017
2021-10-24,2003.633,8.796,186.827,0.82,125.0,11.655,836.571,78.005,0.03
2021-10-31,3965.898,14.735,369.796,1.374,202.571,18.888,1448.429,135.057,0.044
