,pred,actual
2021-06-27,130.025,144.286
2021-07-04,129.428,171.572
2021-07-11,130.489,236.02
2021-07-18,132.229,223.041
2021-07-25,134.07,188.204
2021-08-01,135.926,168.388
2021-08-08,137.785,183.408
2021-08-15,139.643,189.204
2021-08-22,141.502,188.653
2021-08-29,143.36,210.347
2021-09-05,145.219,322.388
2021-09-12,147.078,403.0
2021-09-19,148.936,440.0
2021-09-26,150.795,534.306
2021-10-03,152.654,762.939
2021-10-10,154.512,1178.082
2021-10-17,156.371,2003.633
2021-10-24,158.229,3965.898
